Land;  Prijs  
Azoren; 0,06 
Bulgarije; 0,06 
Canarische Eilanden; 0,06 
Cyprus; 0,06 
Denemarken; 0,06 
Duitsland; 0,06 
Estland; 0,06 
Finland; 0,06 
Frankrijk; 0,06 
Frans-Guyana; 0,06 
Gibraltar (VK); 0,06 
Griekenland; 0,06 
Guadeloupe; 0,06 
Hongarije; 0,06 
Ierland; 0,06 
IJsland; 0,06 
Italië; 0,06 
Kroatië; 0,06 
Letland; 0,06 
Liechtenstein; 0,06 
Litouwen; 0,06 
Luxemburg; 0,06 
Madeira; 0,06 
Malta; 0,06 
Martinique; 0,06 
Nederland; 0,06 
Noorwegen; 0,06 
Oostenrijk; 0,06 
Polen; 0,06 
Portugal; 0,06 
Réunion; 0,06 
Roemenië; 0,06 
Slovenië; 0,06 
Slowakije; 0,06 
Spanje; 0,06 
Tsjechië; 0,06 
Vaticaanstad; 0,06 
Verenigd Koninkrijk; 0,06 
Zweden; 0,06 
Jersey; 3,00 
Monaco; 3,00 
San Marino; 3,00 
Zwitserland; 3,00 
Afghanistan; 9,50 
Aland (Finland); 9,50 
Albanië; 9,50 
Algerije; 9,50 
Amerikaans Samoa; 9,50 
Angola; 9,50 
Anguilla; 9,50 
Antigua & Barbuda; 9,50 
Argentinië; 9,50 
Armenië; 9,50 
Aruba; 9,50 
Ascension; 9,50 
Australisch Antarctisch Territorium; 9,50 
Australië; 9,50 
Azerbeidzjan; 9,50 
Bahama's; 9,50 
Bahrein; 9,50 
Bangladesh; 9,50 
Barbados; 9,50 
Belarus; 9,50 
Belize; 9,50 
Benin; 9,50 
Bermuda; 9,50 
Bhutan; 9,50 
Bolivia; 9,50 
Bosnië & Herzegovina; 9,50 
Botswana; 9,50 
Brazilië; 9,50 
Britse Maagdeneilanden; 9,50 
Brunei; 9,50 
Burkina Faso; 9,50 
Burundi; 9,50 
Cambodja; 9,50 
Canada; 9,50 
Caymaneilanden; 9,50 
Centraal-Afrikaanse Republiek; 9,50 
Chili; 9,50 
China; 9,50 
Christmaseiland; 9,50 
Cocoseilanden; 9,50 
Colombia; 9,50 
Comoren; 9,50 
Congo; 9,50 
Cookeilanden; 9,50 
Costa Rica; 9,50 
Cuba; 9,50 
Curaçao & Bonaire; 9,50 
Democratische Republiek Congo; 9,50 
Diego Garcia; 9,50 
Djibouti; 9,50 
Dominica; 9,50 
Dominicaanse Republiek; 9,50 
Ecuador; 9,50 
Egypte; 9,50 
El Salvador; 9,50 
Equatoriaal-Guinea; 9,50 
Eritrea; 9,50 
Ethiopië; 9,50 
Faeröer; 9,50 
Falklandeilanden; 9,50 
Ferries & Cruises; 9,50 
Fiji; 9,50 
Filipijnen; 9,50 
Frans-Polynesië; 9,50 
Gabon; 9,50 
Gambia; 9,50 
Georgië; 9,50 
Ghana; 9,50 
Grenada; 9,50 
Groenland; 9,50 
Guam; 9,50 
Guatemala; 9,50 
Guinee; 9,50 
Guinee-Bissau; 9,50 
Guyana; 9,50 
Haïti; 9,50 
Honduras; 9,50 
Hongkong; 9,50 
India; 9,50 
Indonesië; 9,50 
Irak; 9,50 
Iran; 9,50 
Israël; 9,50 
Ivoorkust; 9,50 
Jamaica; 9,50 
Japan; 9,50 
Jemen; 9,50 
Jordanië; 9,50 
Kaapverdië; 9,50 
Kameroen; 9,50 
Kazachstan; 9,50 
Kenia; 9,50 
Kiribati; 9,50 
Koeweit; 9,50 
Kyrgyzstan; 9,50 
Laos; 9,50 
Lesotho; 9,50 
Libanon; 9,50 
Liberia; 9,50 
Libië; 9,50 
Maagdeneilanden (VS); 9,50 
Macau; 9,50 
Macedonië; 9,50 
Madagaskar; 9,50 
Malawi; 9,50 
Malediven; 9,50 
Maleisië; 9,50 
Mali; 9,50 
Marokko; 9,50 
Marshalleilanden; 9,50 
Mauritanië; 9,50 
Mauritius; 9,50 
Mayotte; 9,50 
Mexico; 9,50 
Micronesia; 9,50 
Moldavië; 9,50 
Mongolië; 9,50 
Montenegro; 9,50 
Montserrat; 9,50 
Mozambique; 9,50 
Namibië; 9,50 
Nauru; 9,50 
Nederlandse Antillen; 9,50 
Nepal; 9,50 
Nicaragua; 9,50 
Nieuw-Zeeland; 9,50 
Niger; 9,50 
Nigeria; 9,50 
Niue; 9,50 
Noord-Korea; 9,50 
Norfolk; 9,50 
Oekraïne; 9,50 
Oezbekistan; 9,50 
Oman; 9,50 
Oost-Timor; 9,50 
Paaseiland; 9,50 
Pakistan; 9,50 
Palau; 9,50 
Palestina; 9,50 
Panama; 9,50 
Papoea-Nieuw-Guinea; 9,50 
Paraguay; 9,50 
Peru; 9,50 
Puerto Rico; 9,50 
Qatar; 9,50 
Rusland; 9,50 
Rwanda; 9,50 
Saint Kitts & Nevis; 9,50 
Saint Lucia; 9,50 
Saint Vincent & de Grenadines; 9,50 
Saint-Pierre en Miquelon; 9,50 
Salomonseilanden; 9,50 
Samoa; 9,50 
Sao Tomé & Principe; 9,50 
Saudi-Arabië; 9,50 
Senegal; 9,50 
Servië; 9,50 
Seychellen; 9,50 
Sierra Leone; 9,50 
Singapore; 9,50 
Sint-Helena; 9,50 
Soedan; 9,50 
Somalië; 9,50 
Sri Lanka; 9,50 
Suriname; 9,50 
Swaziland; 9,50 
Syrië; 9,50 
Tadzjikistan; 9,50 
Taiwan; 9,50 
Tanzania; 9,50 
Thailand; 9,50 
Togo; 9,50 
Tokelau; 9,50 
Tonga; 9,50 
Trinidad & Tobago; 9,50 
Tsjaad; 9,50 
Turkije; 9,50 
Turkmenistan; 9,50 
Turks- & Caicoseilanden; 9,50 
Tuvalu; 9,50 
Uganda; 9,50 
Uruguay; 9,50 
Vanuatu; 9,50 
Venezuela; 9,50 
Verenigde Staten; 9,50 
Vietnam; 9,50 
Wallis en Futuna; 9,50 
Zambia; 9,50 
Zimbabwe; 9,50 
Zuid-Afrika; 9,50 
Zuid-Korea; 9,50 
Alderney; 14,52 
Andorra; 14,52 
Guernsey (VK); 14,52 
Herm; 14,52 
Kosovo; 14,52 
Man eiland (VK); 14,52 
Sark; 14,52 
Tunesië; 14,52 
Verenigde Arabische Emiraten; 14,52 
