Country;EU;local_price;dollar_ex;dollar_price;dollar_ppp;dollar_valuation;dollar_adj_valuation;euro_adj_valuation;sterling_adj_valuation;yen_adj_valuation;yuan_adj_valuation
Argentinië;F;55;15,9;3,47;10,9;-31,5;6,3;8,3;29,6;32,7;13,6
Australië;F;5,8;1,4;4,28;1,1;-15,5;-11,9;-10,3;7,4;10;-5,8
Brazilië;F;16,5;3,2;5,12;3,3;1,1;67,6;70,7;104,4;109,3;79,2
Verenigd Koninkrijk;T;3,1;0,8;3,73;0,6;-26,3;-18;-16,5;0;2,4;-12,3
Canada;F;6;1,3;4,51;1,2;-10,9;-0,4;1,4;21,5;24,3;6,5
Chili;F;2450;672,8;3,64;484,2;-28;11,9;14;36,5;39,8;19,7
China;F;19,6;6,9;2,83;3,9;-44,1;-6,5;-4,7;14,1;16,8;0
Colombia;F;9900;2994,6;3,31;1956,5;-34,7;12,3;14,4;37;40,2;20
Costa Rica;F;2250;554,3;4,06;444,7;-19,8;NA;NA;NA;NA;NA
Tsjechië;T;75;25,8;2,91;14,8;-42,6;-15;-13,4;3,6;6,1;-9,2
Denemarken;T;30;7,1;4,22;5,9;-16,5;-13,8;-12,2;5,1;7,6;-7,9
Egypte;F;27,5;18,8;1,46;5,4;-71,1;-48,5;-47,5;-37,2;-35,7;-45
Hongkong;F;19,2;7,8;2,48;3,8;-51,1;-44,9;-43,8;-32,7;-31,1;-41
Hongarije;T;900;294,6;3,05;177,9;-39,6;-4,7;-2,9;16,2;19;1,9
India;F;170;68,3;2,49;33,6;-50,8;-9,7;-8;10,2;12,8;-3,4
Indonesië;F;31000;13329;2,33;6126,5;-54;-17,8;-16,2;0,3;2,7;-12,1
Israël;F;16,9;3,9;4,38;3,3;-13,4;4,6;6,6;27,6;30,7;11,9
Japan;F;380;116,7;3,26;75,1;-35,6;-19,9;-18,4;-2,3;0;-14,4
Maleisië;F;8;4,5;1,79;1,6;-64,6;-42,1;-41,1;-29,4;-27,7;-38,1
Mexico;F;49;22;2,23;9,7;-55,9;-27,3;-25,9;-11,3;-9,2;-22,2
Nieuw-Zeeland;F;6;1,4;4,19;1,2;-17,3;-1,8;0,1;19,8;22,6;5
Noorwegen;F;49;8,6;5,67;9,7;12;-3,5;-1,6;17,8;20,6;3,2
Pakistan;F;375;104,8;3,58;74,1;-29,3;30,3;32,7;58,9;62,7;39,3
Peru;F;11;3,4;3,24;2,2;-35,9;10,2;12,3;34,4;37,6;17,8
Filipijnen;F;133;49,6;2,68;26,3;-47;-4,5;-2,7;16,5;19,3;2,1
Polen;T;9,6;4,2;2,3;1,9;-54,5;-28,5;-27,1;-12,8;-10,7;-23,5
Rusland;F;130;60,4;2,15;25,7;-57,5;-30;-28,6;-14,6;-12,5;-25,1
Saudi-Arabië;F;12;3,8;3,2;2,4;-36,8;-10,4;-8,7;9,3;11,9;-4,2
Singapore;F;5,6;1,4;3,89;1,1;-23,1;-21,1;-19,7;-3,8;-1,5;-15,7
Zuid-Afrika;F;26,3;14;1,89;5,2;-62,7;-35,6;-34,4;-21,4;-19,5;-31,1
Zuid-Korea;F;4400;1196,5;3,68;869,6;-27,3;-4,3;-2,5;16,7;19,5;2,3
Sri Lanka;F;350;150,1;2,33;69,2;-53,9;NA;NA;NA;NA;NA
Zweden;T;48;9,1;5,26;9,5;4;9,4;11,5;33,5;36,7;17
Zwitserland;F;6,5;1;6,35;1,3;25,5;3,8;5,7;26,6;29,6;11
Taiwan;F;69;31,9;2,16;13,6;-57,3;-40,5;-39,4;-27,4;-25,7;-36,4
Thailand;F;119;35,6;3,35;23,5;-33,9;14,2;16,3;39,3;42,6;22,1
Turkije;F;10,8;3,9;2,75;2,1;-45,7;-11;-9,3;8,6;11,2;-4,8
Verenigde Arabische Emiraten;F;13;3,7;3,54;2,6;-30,1;NA;NA;NA;NA;NA
Oekraïne;F;42;27,2;1,54;8,3;-69,5;NA;NA;NA;NA;NA
Verenigde Staten;F;5,1;1;5,06;1;0;0;1,9;22;24,9;6,9
Uruguay;F;125;28,7;4,35;24,7;-14;NA;NA;NA;NA;NA
Venezuela;F;3550;676,6;5,25;701,6;3,7;NA;NA;NA;NA;NA
Vietnam;F;60000;22572;2,66;11857,7;-47,5;NA;NA;NA;NA;NA
Oostenrijk;T;3,4;1;3,56;0,7;-29,7;-21,7;-20,2;-4,5;-2,2;-16,3
België;T;4;1;4,14;0,8;-18,3;-5,9;-4,1;14,8;17,6;0,7
Estland;T;3,1;1;3,25;0,6;-35,9;-5,1;-3,4;15,7;18,5;1,4
Finland;T;4,6;1;4,76;0,9;-5,9;6,5;8,5;29,9;33;13,9
Frankrijk;T;4,1;1;4,29;0,8;-15,2;0,1;2;22,1;25;7
Duitsland;T;3,8;1;3,97;0,7;-21,6;-10,4;-8,7;9,3;11,9;-4,2
Griekenland;T;3,4;1;3,51;0,7;-30,7;1,5;3,4;23,8;26,8;8,6
Ierland;T;4;1;4,19;0,8;-17,2;-14;-12,4;4,9;7,4;-8,1
Italië;T;4,2;1;4,4;0,8;-13,1;11,1;13,2;35,6;38,8;18,8
Nederland;T;3,6;1;3,78;0,7;-25,3;-16,8;-15,2;1,5;3,9;-11
Portugal;T;3,1;1;3,19;0,6;-36,9;-8,8;-7;11,3;14;-2,4
Spanje;T;4;1;4,14;0,8;-18,3;9,2;11,3;33,2;36,4;16,8
